expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-24,call,315.0,0.0,0.0,0.02,1501.0,0,0.02,last_price_fallback
2026-06-24,call,317.5,0.0,0.0,0.02,202.0,0,0.02,last_price_fallback
2026-06-24,call,320.0,0.0,0.0,0.01,519.0,0,0.01,last_price_fallback
2026-06-24,call,322.5,0.0,0.0,0.01,52.0,0,0.01,last_price_fallback
2026-06-24,call,325.0,0.0,0.0,0.02,95.0,0,0.02,last_price_fallback
2026-06-24,call,330.0,0.0,0.0,0.08,34.0,0,0.08,last_price_fallback
2026-06-24,call,335.0,0.0,0.0,0.01,4.0,0,0.01,last_price_fallback
2026-06-24,call,340.0,0.0,0.0,0.01,4.0,0,0.01,last_price_fallback
2026-06-24,call,350.0,0.0,0.0,0.05,1.0,0,0.05,last_price_fallback
2026-06-24,call,355.0,0.0,0.0,0.75,1.0,0,0.75,last_price_fallback
2026-06-24,call,360.0,0.0,0.0,0.44,,0,0.44,last_price_fallback
2026-06-24,call,370.0,0.0,0.0,0.03,,0,0.03,last_price_fallback
2026-06-24,put,225.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-24,put,230.0,0.0,0.0,0.12,,0,0.12,last_price_fallback
2026-06-24,put,235.0,0.0,0.0,0.11,,0,0.11,last_price_fallback
2026-06-24,put,240.0,0.0,0.0,0.01,10.0,0,0.01,last_price_fallback
2026-06-24,put,245.0,0.0,0.0,0.01,2.0,0,0.01,last_price_fallback
2026-06-24,put,250.0,0.0,0.0,0.02,61.0,0,0.02,last_price_fallback
2026-06-24,put,255.0,0.0,0.0,0.05,7.0,0,0.05,last_price_fallback
2026-06-24,put,257.5,0.0,0.0,0.03,1.0,0,0.03,last_price_fallback
2026-06-24,put,260.0,0.0,0.0,0.04,47.0,0,0.04,last_price_fallback
2026-06-24,put,262.5,0.0,0.0,0.01,13.0,0,0.01,last_price_fallback
2026-06-24,put,265.0,0.0,0.0,0.05,19.0,0,0.05,last_price_fallback
2026-06-24,put,267.5,0.0,0.0,0.02,6.0,0,0.02,last_price_fallback
2026-06-24,put,270.0,0.0,0.0,0.03,30.0,0,0.03,last_price_fallback
2026-06-24,put,272.5,0.0,0.0,0.03,24.0,0,0.03,last_price_fallback
2026-06-24,put,275.0,0.0,0.0,0.04,93.0,0,0.04,last_price_fallback
2026-06-24,put,277.5,0.0,0.0,0.05,43.0,0,0.05,last_price_fallback
2026-06-24,put,280.0,0.0,0.0,0.08,141.0,0,0.08,last_price_fallback
2026-06-24,put,282.5,0.0,0.0,0.1,328.0,0,0.1,last_price_fallback
